recording_id,recipe,activity_id,label,person_id,environment_id,source,path,duration_s,annotated_duration_s,size_bytes,server_size_bytes,width,height,fps,codec,sha256
12_19,Tomato Mozzarella Salad,12,normal,3,6,gopro_360p,data/captaincook4d/raw/captain_cook_4d/gopro/resolution_360p/12_19_360p.mp4,379.38,379.38,52376292,52376292,640,360,29.97,h264,7c4e44682cef088121ac9356621190c95cbd9a67e63a22acc7ef6fb11882a727
12_26,Tomato Mozzarella Salad,12,error,2,1,gopro_360p,data/captaincook4d/raw/captain_cook_4d/gopro/resolution_360p/12_26_360p.mp4,329.2,329.2,42547151,42547151,640,360,29.97,h264,37e39e4a1ad67cb681d7ffff6abe483b61cb9b1c2b1dcfe534a6ce2713199b8c
12_38,Tomato Mozzarella Salad,12,error,5,5,gopro_360p,data/captaincook4d/raw/captain_cook_4d/gopro/resolution_360p/12_38_360p.mp4,358.09,358.09,42013413,42013413,640,360,29.97,h264,df8a7aa964d047534a4bfe280abad8a4f4df65620c19a2f1b0faeacca71bc2c6
12_41,Tomato Mozzarella Salad,12,error,5,7,gopro_360p,data/captaincook4d/raw/captain_cook_4d/gopro/resolution_360p/12_41_360p.mp4,470.67,470.67,56482766,56482766,640,360,29.97,h264,964f38904ca9f4f8ee9c932cad892abb1f8fb9773b9c0951be25484cf1dd9e27
12_43,Tomato Mozzarella Salad,12,error,8,5,gopro_360p,data/captaincook4d/raw/captain_cook_4d/gopro/resolution_360p/12_43_360p.mp4,200.37,200.37,23036820,23036820,640,360,29.97,h264,64727a710e54151cba1e4da71644759fc81153ce9c153f3583d589c6a5388125
12_48,Tomato Mozzarella Salad,12,error,8,2,gopro_360p,data/captaincook4d/raw/captain_cook_4d/gopro/resolution_360p/12_48_360p.mp4,300.57,300.57,41154421,41154421,640,360,29.97,h264,dfdf78d5051bb943ab93207864c39aab56e4b4f5a49a4db8e32500fa98daacf6
12_51,Tomato Mozzarella Salad,12,error,8,7,gopro_360p,data/captaincook4d/raw/captain_cook_4d/gopro/resolution_360p/12_51_360p.mp4,239.54,239.54,32507555,32507555,640,360,29.97,h264,ed72cadf6d0d5d95ace7ba8c866a728bd84a8ef0c24962d2209df32004f93c00
12_119,Tomato Mozzarella Salad,12,normal,5,11,gopro_360p,data/captaincook4d/raw/captain_cook_4d/gopro/resolution_360p/12_119_360p.mp4,441.94,441.94,51026827,51026827,640,360,29.97,h264,45ec4aa08c88309202f18717001548b9f247abce3b8cdc07be202c8eeca875c9
20_9,Sauted Mushrooms,20,normal,3,5,gopro_360p,data/captaincook4d/raw/captain_cook_4d/gopro/resolution_360p/20_9_360p.mp4,1866.1,1866.1,199318923,199318923,640,360,29.97,h264,f1a1a32b1d9e255ed4fdfef012808f85776a71066dc382823acb96eea3822f7c
20_14,Sauted Mushrooms,20,normal,5,5,gopro_360p,data/captaincook4d/raw/captain_cook_4d/gopro/resolution_360p/20_14_360p.mp4,2022.35,2022.35,215281941,215281941,640,360,29.97,h264,914320efc6209a3c0b81a53e1554fd57a0ccb68fddddfde1cf38e327254f84f0
20_16,Sauted Mushrooms,20,normal,4,2,gopro_360p,data/captaincook4d/raw/captain_cook_4d/gopro/resolution_360p/20_16_360p.mp4,1624.62,1624.62,187325023,187325023,640,360,29.97,h264,461b79d68dcafc08b11bcac7f4a62ec0d89d757704d318b83c179e406fc533ec
20_17,Sauted Mushrooms,20,normal,5,7,gopro_360p,data/captaincook4d/raw/captain_cook_4d/gopro/resolution_360p/20_17_360p.mp4,1897.16,1897.16,166049931,166049931,640,360,29.97,h264,7ba8b9e2925cac5bf8346a217f7adc3da135e914530c5874f6535d32dd94d72e
20_19,Sauted Mushrooms,20,normal,8,2,gopro_360p,data/captaincook4d/raw/captain_cook_4d/gopro/resolution_360p/20_19_360p.mp4,1338.37,1338.37,167000850,167000850,640,360,29.97,h264,672bb9779ad692615c0df669441300a2895b3b52bcb72ea467a6c70e36ab7224
20_22,Sauted Mushrooms,20,normal,2,1,gopro_360p,data/captaincook4d/raw/captain_cook_4d/gopro/resolution_360p/20_22_360p.mp4,1065.2,1065.2,137845827,137845827,640,360,29.97,h264,984d4e97f6198b7029157a5d644b0599c203ed05f3e99999a050298dd778e6b9
20_25,Sauted Mushrooms,20,error,8,7,gopro_360p,data/captaincook4d/raw/captain_cook_4d/gopro/resolution_360p/20_25_360p.mp4,1173.87,1173.87,146935159,146935159,640,360,29.97,h264,62808a4d9842f0824d22f201830eb383443bc68204fb4f8f251b1da3d61c3be1
20_26,Sauted Mushrooms,20,error,1,1,gopro_360p,data/captaincook4d/raw/captain_cook_4d/gopro/resolution_360p/20_26_360p.mp4,1092.29,1092.29,123328810,123328810,640,360,29.97,h264,b447cdd15ce877e5ed227a708eaba54132b409d88eed9b17b8de7f5b8820c59e
20_29,Sauted Mushrooms,20,error,4,5,gopro_360p,data/captaincook4d/raw/captain_cook_4d/gopro/resolution_360p/20_29_360p.mp4,1227.73,1227.73,127530910,127530910,640,360,29.97,h264,9bbd1edc3daa93ea8fd596936f5ed177de5e1415b53b75feb9a3abcd0b2af9da
20_32,Sauted Mushrooms,20,error,8,5,gopro_360p,data/captaincook4d/raw/captain_cook_4d/gopro/resolution_360p/20_32_360p.mp4,1185.55,1185.55,139421369,139421369,640,360,29.97,h264,f448f807cc5351ea2788a514c79e5ca307090ac5587a3d802ffd7e8ca92b9fc1
20_39,Sauted Mushrooms,20,error,3,6,gopro_360p,data/captaincook4d/raw/captain_cook_4d/gopro/resolution_360p/20_39_360p.mp4,619.82,619.82,83922856,83922856,640,360,29.97,h264,9518f2cbcfdfc267a9cf4a705cc4eeb931ecb54a705d0395ead7c2c7af45027e
20_44,Sauted Mushrooms,20,error,1,6,gopro_360p,data/captaincook4d/raw/captain_cook_4d/gopro/resolution_360p/20_44_360p.mp4,622.22,622.22,92471406,92471406,640,360,29.97,h264,ee5c1fef43c60e0f38bfac75fbe3b7fefc7f34540c2f693ff2ab7c5766dc2929
20_47,Sauted Mushrooms,20,error,3,2,gopro_360p,data/captaincook4d/raw/captain_cook_4d/gopro/resolution_360p/20_47_360p.mp4,1167.13,1167.13,138430774,138430774,640,360,29.97,h264,0f9aa586e70c40cdecd6d7d5bdc154402fdba37915eec9b9c58aecf35162082d
20_48,Sauted Mushrooms,20,error,1,2,gopro_360p,data/captaincook4d/raw/captain_cook_4d/gopro/resolution_360p/20_48_360p.mp4,855.25,855.25,126826047,126826047,640,360,29.97,h264,7e045d9eba7a4fb230c2fb016794f77ccd01bbc660aa2ef94891c020816d6cbb
25_1,Pan Fried Tofu,25,normal,4,6,gopro_360p,data/captaincook4d/raw/captain_cook_4d/gopro/resolution_360p/25_1_360p.mp4,1761.19,1761.19,210094224,210094224,640,360,29.97,h264,29663ca2fd412c1701364b32c01f9759de49ecbf8ecaa71200b6bf1fa7eca02f
25_2,Pan Fried Tofu,25,normal,1,2,gopro_360p,data/captaincook4d/raw/captain_cook_4d/gopro/resolution_360p/25_2_360p.mp4,1121.62,1121.62,134176370,134176370,640,360,29.97,h264,9850e8d1d4f116d0f32cb88029d7108e473fbd13b59958c807570fe84b57f812
25_3,Pan Fried Tofu,25,normal,8,1,gopro_360p,data/captaincook4d/raw/captain_cook_4d/gopro/resolution_360p/25_3_360p.mp4,1335.97,1335.97,145649825,145649825,640,360,29.97,h264,dc30f64ee6b7ccbc21968b8181690f0b57477eeb718799f3cb99f8dd7852a203
25_4,Pan Fried Tofu,25,error,8,6,gopro_360p,data/captaincook4d/raw/captain_cook_4d/gopro/resolution_360p/25_4_360p.mp4,1711.81,1711.81,243787606,243787606,640,360,29.97,h264,b6a08d2be7a77263acb1f5c8433dcb328070a1050c52e3737eb9cbe132536493
25_5,Pan Fried Tofu,25,normal,4,7,gopro_360p,data/captaincook4d/raw/captain_cook_4d/gopro/resolution_360p/25_5_360p.mp4,1381.88,1381.88,133257157,133257157,640,360,29.97,h264,44378b8032060c25f209eef143575856afdd2c3efde132a8fc3afffa5f64ee6e
25_6,Pan Fried Tofu,25,normal,1,5,gopro_360p,data/captaincook4d/raw/captain_cook_4d/gopro/resolution_360p/25_6_360p.mp4,2142.57,2142.57,215546875,215546875,640,360,29.97,h264,0cae9b92b7c597d9f32dc5de4264bb2d905bfb1beb12882f499c2a85b999c01e
25_9,Pan Fried Tofu,25,normal,2,6,gopro_360p,data/captaincook4d/raw/captain_cook_4d/gopro/resolution_360p/25_9_360p.mp4,1058.52,1058.52,155162799,155162799,640,360,29.97,h264,f1e47dbd43aa1afc374719a9e293f6b61e35e36881d4306577e7c194f900fb52
25_11,Pan Fried Tofu,25,error,4,2,gopro_360p,data/captaincook4d/raw/captain_cook_4d/gopro/resolution_360p/25_11_360p.mp4,1326.26,1326.26,156998428,156998428,640,360,29.97,h264,7fd07dcf045062f1cefa1a4accd488fcd90dfbb0b21659ac838e021f08c9f666
25_13,Pan Fried Tofu,25,error,1,1,gopro_360p,data/captaincook4d/raw/captain_cook_4d/gopro/resolution_360p/25_13_360p.mp4,1234.57,1234.57,118695248,118695248,640,360,29.97,h264,d54e7d39b0d750d591b831f2c48f4f6aca12e515582dfa5db66b50eaa8f27c4e
25_22,Pan Fried Tofu,25,error,4,5,gopro_360p,data/captaincook4d/raw/captain_cook_4d/gopro/resolution_360p/25_22_360p.mp4,1420.52,1420.52,142267927,142267927,640,360,29.97,h264,aa5b74c4f59b9d0c71a5ebc8a9582c1d5e6751fdbaa9e956a11e60d07ffc571a
25_40,Pan Fried Tofu,25,error,2,2,gopro_360p,data/captaincook4d/raw/captain_cook_4d/gopro/resolution_360p/25_40_360p.mp4,877.34,877.34,126983539,126983539,640,360,29.97,h264,3ba188fdf1e09809053b00f3f9a9b880ee72f509b34db5d2bf28c4d5e4965c82
25_41,Pan Fried Tofu,25,error,1,7,gopro_360p,data/captaincook4d/raw/captain_cook_4d/gopro/resolution_360p/25_41_360p.mp4,1015.91,1015.91,125414745,125414745,640,360,29.97,h264,bf141217add0cb4d6896244238ad3a2041a5252ed1ba78fdb02d88d09f71fd23
25_42,Pan Fried Tofu,25,error,1,6,gopro_360p,data/captaincook4d/raw/captain_cook_4d/gopro/resolution_360p/25_42_360p.mp4,1188.25,1188.25,153706319,153706319,640,360,29.97,h264,0ecc1e65a32e4292e32b618925036c05777b30e3dc08b5e18e1862cd1c955f29
25_48,Pan Fried Tofu,25,error,2,5,gopro_360p,data/captaincook4d/raw/captain_cook_4d/gopro/resolution_360p/25_48_360p.mp4,767.63,767.63,97605321,97605321,640,360,29.97,h264,8cbb9f00159ee407f9164629801559bc61824572da6f79fec8f991f51b630523
25_109,Pan Fried Tofu,25,normal,5,7,gopro_360p,data/captaincook4d/raw/captain_cook_4d/gopro/resolution_360p/25_109_360p.mp4,2126.96,2126.96,201079756,201079756,640,360,29.97,h264,ed334ef9b0760e99d2d33a0c3ea5a8087dce47c79885db4bc955571b525a96ea
